# 2025-03-14 12:10:51 EET
Count	Quest	Text
1	data_recommended:	Crystal structure (organic / organometallic / metal organic); Crystal structure (biological); Crystal structure (inorganic);Crystal structure (powder); CryoEM; bio-NMR, Software / code; Models of biochemical reaction networks; Atomic coordinates; Input/configuration files and program output; Materials simulation data including electronic structure and molecular dynamics; Computational materials science; Computational chemistry files; NMR; IR / Raman; UV-vis; EPR; bio-NMR; Mass spectral data for small chemical molecules, metabolomics, exposomics; Electrophoretic gels and blots; Microscopy (e.g. SEM, TEM, STM); Coherent X-ray images; Bioimages, multidimensional life sciences image data (cell and tissue); Materials (Various); Materials simulation data including electronic structure and molecular dynamics; Computational materials science; All proteomics data; Proteomics mass spectrometry; Human geno- and phenotype data, epigenetics; Human genetic variation data (<=50bp), e.g.single-base nucleotide substitutions, small-scale deletion or insertions; Human genomic structural variation data (>50bp), e.g. insertions, deletions, translocations; Gene expression data, array- and sequence-based; High-throughput functional genomics data; Protein-protein, protein-DNA/RNA and molecular interactions; miRNA sequences and annotation; Metabolomics; Metabolomics; DNA & RNA sequence data; Genome sequence data; Metagenomics sequence data; Protein sequences;Atmospheric and earth observation research, environmental data; Environmental and ecological data; Geochemical, geochronological, and petrological data; Climate or Earth system research, climate model data; Functional enzymology data (kinetic and experimental data); Flow cytometry data; Protein circular dichroism and protein synchrotron radiation circular dichroism ; Intermolecular and supramolecular interactions of molecular systems, binding, assembly, and interaction phenomena; Batteries; Biomolecules; Catalysts; Characterisation of compounds and materials; Computational studies and modelling; Electrophoretic gels and blots;Fluorescence sensors; Inorganic and organometallic compounds; Macromolecular structure and sequence data; Magnetic measurements; Nanomaterials; Organic compounds; Polymers and macromolecules; Synthetic procedures; System models;Batteries
1	data_recommended:	Compound Characterization, Experimental, and Computational Data ; Guidelines for Characterization of Organometallic and Inorganic Compounds ; (a) Routine Compounds ; (b) Novel or Unexpected Compounds ; (c) Solid State Materials ; (d) Compounds That Have Not Been Isolated ; Guidelines for Characterization of Organic Compounds ; Guidelines for Reporting Biological Data ; Statistics ; Biological Specimens ; a. Antibodies: ; b. Cell Lines and Microorganisms ; e. Biological Assays ; f. Kinetic and Equilibrium Data ; Reporting and Stewardship of NMR Data ; Biomolecule Structures: ; Single Crystal Diffraction Data ; CIF Submission Instructions ; Powder Diffraction Data ; Magnetic Measurements ; computations
1	data_recommended:	Characterization of New Substances ; Guidelines for Characterization of Organometallic and Inorganic Compounds ; Characterization Data (a) Routine Compounds ; (b) Novel or Unexpected Compounds ; (c) Solid State Materials ; (d) Compounds that have not been isolated ; Guidelines for Characterization of Organic Compounds ; Spectra ; Kinetic and Equilibrium Data ; Reporting and Stewardship of NMR ; Data Nuclear Magnetic Resonance Pulse Sequences ; Structural and Chemical Shift Data for Proteins and Nucleic Acids ; Single Crystal Diffraction Data ; CIF Submission Instructions ; Powder Diffraction Data ; Magnetic Measurements ; Computations  
1	data_recommended:	Characterization of New Compounds ; (A) Crystal Structure Studies ; (1) Structure Reports in Articles ; CIF ; (B) Powder Diffraction Data ; Crystallographic Data (Powder); (C) Electron Diffraction; Computational Reports ; Magnetic measurements ; NMR Spectra ; Electrochemistry Data ; Biological Data ; Electrophoretic Gels and Blots ;  
1	data_recommended:	Cell lines, If human cells are used, authors must declare in the manuscript: what cell lines were used by describing the source of the cell line, including when and from where it was obtained, whether the cell line has recently been authenticated and by what method.  It is recommended that authors check the NCBI database for misidentification and contamination of human cell lines.
1	data_recommended:	3. Purity of Tested Compounds. ; 4. Confirmation of Structure ; 6. Computational Chemistry; 7. QSAR/QSPR and Proprietary Data; 8. Statistical Criteria. 9. Software.; 10. Structural Data. ; 11. Compound Characterization Checklist. 
104	data_referee:	Data sharing policy not mentioned in refereeing guidelines.
62	data_referee:	Data sharing policy mentioned in refereeing guidelines.
4	data_referee:	Additional data or code referee (referee that solely confirms that code and data are shared following the RDP).
32	data_required:	no text
16	data_required:	.nan
15	data_required:	nucleic acid sequences; high throughput sequencing (HTS) datasets (RNA-seq, ChIP-Seq, degradome analysis, …); microarray data; protein sequences; mass spectrometry raw proteomics data
15	data_required:	not mentioned
15	data_required:	no text.
15	data_required:	n.a.
11	data_required:	Nothing in particular about this
7	data_required:	none
7	data_required:	Authors are required to deposit the following mandatory data types in public, community-supported repositories, such as those listed below, prior to publication of an associated Frontiers manuscript. Genetic and genomic sequence (DNA/RNA); Metagenomic sequence; DNA and RNA trace or short-read sequencing data; Genetic polymorphism data, including SNP and CNV data; Gene expression data; chromatin immunoprecipitation data (deep-sequencing or microarray); Data linking genotype to phenotype; Protein sequence data; Proteome profiling data; Small molecule, protein, protein complex data structural data; Taxonomy data
6	data_required:	DNA sequence data; RNA sequence data; Genome assembly data; Protein sequence data; Proteomics data; Genetic variation data; Functional genomics data; Macromolecular structure data; Gene expression data; Crystallographic data for small molecules
5	data_required:	N.A.
3	data_required:	DNA sequence data,  RNA sequence data,  Genome assembly data,  Protein sequence data,  Proteomics data,  Genetic variation data,  Functional genomics data,  Macromolecular structure data,  Gene expression data,  Crystallographic data for small molecules
3	data_required:	Batteries.Crystal structure (organic / organometallic / metal organic), nanomaterials
3	data_required:	 reporting the efficiency of solar conversion devices;   reporting electrochemical data and setup of batteries.Crystal structure (organic / organometallic / metal organic) 
2	data_required:	na
1	data_required:	nomenclature , Biological Assays ; Use of Human Subjects or Animals in Research ; Research Involving Animals ; Research Involving Human Subjects ; Database Deposition ; Sequence Data ; Proteomics Data ; Computer Codes ; Computational Chemistry Calculations ;
1	data_required:	crystal structures
1	data_required:	cif
1	data_required:	This journal encourages authors to adopt RRIDs when reporting key biological resources (antibodies, cell lines, model organisms and tools) in their manuscripts.
1	data_required:	Structural Data Biological Macromolecules
1	data_required:	Potential Energy Surfaces
1	data_required:	For all newly synthesized compounds, the elemental analysis data or high-resolution mass spectra should be provided
1	data_required:	CIF, PDB, #### double check if more ####
1	data_required:	CIF  Guidelines for Computational Results Below are the general guidelines from Pure Appl. Chem. 1998, 70, No. 10, 2047–2049 (http://dx.doi.org/10.1351/pac199870102047) for manuscripts reporting the results of electronic structure calculations, force field parameters, and other potential energy surface information. Further details are listed in the guidelines authored by J. E. Boggs (Pure Appl. Chem. 1998, 70, No. 4, 1015–1018 (http://dx.doi.org/10.1351/pac199870041015). Both sets of guidelines can be viewed online at http://iupac.org/publications/pac/reports/year/1998/. While these papers refer to electronic structure and molecular dynamics calculations, the concepts stated below apply to all calculations.  If a paper mentions any calculations that are integral to the study (i.e., the precise quantitative results are central to the conclusions drawn) computational details must be described. Reproducibility of computations should be a defining goal in reporting computational results. Sufficient technical details should be provided to allow a reader to reproduce the results of any calculations. Of course, strict reproducibility of computations may be precluded by differences among computers (e.g., differences in operating systems, host-based algorithms, machine precision, etc.), software (e.g., installation procedures and programming modifications), and applications (e.g., for probabilistic methods such as Monte Carlo calculations). A description of the results of any published calculation must be available for scientific scrutiny by other investigators. Ordinarily this will best be achieved if the authors place full details of the calculation (e.g., structures, energies, frequencies, dynamical quantities, etc.) in a repository (such as Supporting Information to the paper) that is accessible via the Internet. Otherwise, it is the responsibility of the investigator to make such information available upon request. Depending on the specific circumstances, the appropriate data to be deposited might be final output structure(s) or the input structure(s) that would allow another investigator to replicate the computational experiment. Electronically deposited structures should be written in a format that is machine readable by readily available modelling or translating programs. An adequate specification of the computer program used to carry out the calculations is essential. If the calculations were carried out with commercially available software, the investigator must list the source, version number, and force field employed. Any program modifications and any differences from the published version (including changes in parameters) must be fully described or available to other investigators upon request. Changes in parameters, program options (e.g., dielectric constant, nonbonded cutoffs, etc.) affecting reproducibility of the calculation, and program constraints must be fully described in the article. If the program is not available, commercially or otherwise, the authors must specify sufficient detail that the calculation could be reproduced. The issue of convergence must be adequately addressed. An iterative calculation is considered to have converged when further iterations will not significantly alter the results. Convergence criteria should be reported (e.g., energy change per iteration or energy gradient for geometry optimization of a single structure).  
1	data_required:	Batteries; Crystal structure (organic / organometallic / metal organic); Computational results; Biomolecules (for example, enzymes, proteins, DNA/RNA, oligosaccharides, oligonucleotides); Nano-sized materials (such as quantum dots, nanoparticles, nanotubes, nanowires); Magnetic measurements; Inorganic and organometallic compounds; Polymers; Organic compounds 
1	data_required:	Batteries.Crystal structure (organic / organometallic / metal organic), Inorganic and organometallic compounds
1	data_required:	1. Biological Data
